iter	Passed	Remaining
0	4	4151
1	6	3349
2	9	3311
3	13	3362
4	17	3578
5	20	3449
6	23	3363
7	26	3283
8	29	3223
9	33	3338
10	38	3426
11	41	3388
12	43	3337
13	47	3340
14	50	3302
15	53	3265
16	55	3234
17	58	3203
18	61	3173
19	65	3196
20	68	3190
21	72	3203
22	74	3182
23	77	3163
24	81	3190
25	85	3204
26	88	3180
27	90	3153
28	93	3127
29	97	3167
30	104	3254
31	109	3302
32	113	3329
33	118	3378
34	121	3362
35	124	3342
36	128	3334
37	132	3365
38	135	3342
39	138	3317
40	140	3294
41	143	3279
42	148	3306
43	152	3306
44	154	3274
45	157	3258
46	161	3273
47	165	3287
48	169	3280
49	171	3266
50	175	3264
51	178	3253
52	181	3240
53	184	3226
54	187	3213
55	189	3199
56	195	3227
57	197	3215
58	201	3206
59	203	3194
60	209	3222
61	212	3222
62	215	3211
63	218	3198
64	223	3215
65	227	3222
66	231	3219
67	234	3207
68	237	3198
69	241	3206
70	244	3199
71	247	3188
72	250	3177
73	252	3165
74	257	3171
75	261	3179
76	264	3170
77	267	3160
78	270	3150
79	274	3157
80	277	3148
81	280	3138
82	283	3131
83	286	3122
84	290	3123
85	293	3114
86	295	3104
87	299	3107
88	302	3096
89	306	3100
90	310	3104
91	317	3129
92	321	3134
93	325	3139
94	328	3130
95	331	3121
96	334	3111
97	338	3116
98	342	3113
99	345	3111
100	348	3102
101	351	3096
102	354	3090
103	394	3397
104	399	3407
105	407	3434
106	412	3446
107	420	3469
108	440	3604
109	446	3610
110	453	3628
111	458	3635
112	464	3645
113	470	3660
114	494	3801
115	501	3819
116	507	3827
117	510	3816
118	513	3802
119	518	3801
120	521	3788
121	524	3774
122	529	3776
123	534	3775
124	538	3771
125	542	3761
126	545	3747
127	549	3742
128	552	3727
129	555	3714
130	559	3709
131	562	3700
132	567	3702
133	571	3691
134	573	3677
135	576	3662
136	580	3655
137	583	3644
138	586	3632
139	589	3619
140	592	3606
141	595	3601
142	600	3596
143	603	3587
144	606	3574
145	608	3560
146	612	3556
147	617	3555
148	621	3550
149	625	3544
150	630	3547
151	633	3534
152	636	3522
153	638	3509
154	641	3497
155	645	3492
156	648	3481
157	651	3470
158	654	3459
159	656	3448
160	660	3441
161	663	3429
